participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success
10_CYW,LI_HF,HF,LI,40000,MID,LOW,1.5,down,60000.0,336,209,207,8.889259830357142,6.529433461859905,2.978913789473684,-5.910346040883458,-5.143372724076949,6.949524,0.0,-5.143372724076949,-5.56424365213932,1
10_CYW,LI_HF,HF,LI,60000,LOW,MID,1.5,up,80000.0,331,209,205,3.088088688821752,0.8043115264922985,6.6378545119617245,3.5497658231399725,2.615957013617273,9.448304,,2.615957013617273,15.414682187368726,0
10_CYW,LI_HF,HF,LI,80000,MID,LOW,1.5,down,100000.0,335,204,213,15.380944546268655,7.619469730187094,4.40215138235294,-10.978793163915714,-8.455134330306214,10.871696,0.0,-8.455134330306214,-10.750024198442567,1
10_CYW,LI_HF,HF,LI,100000,LOW,MID,1.5,up,120000.0,333,205,213,4.063632141141142,2.299705310136331,8.454863980487804,4.391231839346663,7.673470863553693,23.646579,,7.673470863553693,10.734622685781936,0
10_CYW,LI_HF,HF,LI,120000,MID,LOW,1.5,down,140000.0,333,210,211,11.667461162162162,5.514503831193167,10.45587589047619,-1.2115852716859727,-6.344838536569745,27.056967,306.0,-6.344838536569745,-0.0906258838602767,1
10_CYW,LI_HF,HF,LI,140000,LOW,MID,1.5,up,160000.0,339,206,214,9.926986241887905,5.455644009826229,7.921729893203883,-2.0052563486840214,-2.216532494224352,20.917352,2356.0,-2.216532494224352,-2.4961363095207556,1
10_CYW,LI_HF,HF,LI,160000,MID,LOW,1.5,down,180000.0,335,208,202,7.5989723880597015,2.7068346694834977,6.428024870192307,-1.1709475178673943,-4.59941523954485,17.911909,701.0,-4.59941523954485,-1.0017365880597007,1
10_CYW,LI_HF,HF,LI,180000,LOW,MID,1.5,up,200000.0,333,215,203,6.5574453573573575,2.5869661244533892,10.711216860465116,4.153771503107759,1.9619543421500314,23.714883,,1.9619543421500314,20.639390504028782,0
10_CYW,LI_HF,HF,LI,200000,MID,LOW,1.5,down,220000.0,330,209,212,20.694199190909092,15.756128662441478,7.6180961004784695,-13.076103090430623,-14.579968455060037,15.530329,0.0,-14.579968455060037,-13.198479315311006,1
10_CYW,LI_HF,HF,LI,220000,LOW,MID,1.5,up,,336,210,207,7.193936351190476,3.1642944188827666,17.19176549047619,9.997829139285713,9.482592040113875,38.667919,,9.482592040113875,0.925786156055902,0
10_CYW,HI_LF,LF,HI,90000,LOW,HIGH,3.0,up,120000.0,331,196,207,5.31804139879154,2.5889861660430458,12.862750224489794,7.544708825698254,10.89094362053213,28.462459,,10.89094362053213,18.872721644477696,0
10_CYW,HI_LF,LF,HI,120000,HIGH,LOW,3.0,down,210000.0,330,211,211,22.33028601212121,5.902589801784016,8.90031217535545,-13.42997383676576,-17.931182519230216,30.041107,189.0,-17.931182519230216,-18.362114597487064,1
10_CYW,HI_LF,LF,HI,210000,LOW,HIGH,3.0,up,,339,217,212,6.940134923303835,4.113028701382591,30.51244129493088,23.572306371627047,23.7681105672622,90.480048,,23.7681105672622,17.015553910842506,0
10_CYW,LI_MF,MF,LI,30000,LOW,MID,1.5,up,60000.0,336,207,214,4.671606354166666,2.6652425433440583,8.740578536231885,4.0689721820652185,6.231959295366044,22.377176,,6.231959295366044,5.331771760665868,0
10_CYW,LI_MF,MF,LI,60000,MID,LOW,1.5,down,90000.0,325,207,207,14.596653876923078,4.956469425419573,6.610726386473431,-7.985927490449647,-8.666265263396507,10.072705,0.0,-8.666265263396507,-8.610610952752463,1
10_CYW,LI_MF,MF,LI,90000,LOW,MID,1.5,up,120000.0,339,210,211,9.824271073746313,5.09129862919262,12.663744328571429,2.8394732548251156,10.2399340968698,31.173017,0.0,10.2399340968698,15.807880399683636,1
10_CYW,LI_MF,MF,LI,120000,MID,LOW,1.5,down,150000.0,339,213,214,29.755835309734508,13.64881805407631,8.533206906103286,-21.22262840363122,-23.540391982631704,14.632321,0.0,-23.540391982631704,-15.267307696989409,1
10_CYW,LI_MF,MF,LI,150000,LOW,MID,1.5,up,180000.0,334,209,208,14.176908805389221,7.973954021636912,23.187135009569378,9.010226204180157,1.30254919461078,53.728805,4989.0,1.30254919461078,15.879851194610772,1
10_CYW,LI_MF,MF,LI,180000,MID,LOW,1.5,down,210000.0,334,206,213,23.214320137724552,9.89179837092158,18.34773949029126,-4.866580647433292,-17.08721819406258,27.607212,0.0,-17.08721819406258,-15.434739065260784,1
10_CYW,LI_MF,MF,LI,210000,LOW,MID,1.5,up,,336,214,206,8.889591226190477,3.9604663475574826,20.276931074766356,11.387339848575879,6.270615764100787,36.454814,5717.0,6.270615764100787,6.759579413996439,1
